iter	Passed	Remaining
443	1173	1468
444	1174	1465
445	1176	1461
446	1178	1457
447	1180	1454
448	1182	1451
449	1184	1448
450	1186	1444
451	1188	1440
452	1190	1437
453	1191	1433
454	1194	1430
455	1196	1427
456	1199	1425
457	1201	1421
458	1203	1418
459	1205	1414
460	1207	1412
461	1210	1409
462	1212	1406
463	1214	1403
464	1217	1400
465	1219	1397
466	1221	1394
467	1224	1391
468	1228	1390
469	1230	1387
470	1231	1383
471	1233	1380
472	1235	1376
473	1237	1373
474	1239	1369
475	1241	1366
476	1244	1364
477	1246	1360
478	1248	1357
479	1250	1354
480	1252	1351
481	1254	1347
482	1256	1344
483	1258	1341
484	1261	1339
485	1263	1335
486	1265	1332
487	1266	1329
488	1268	1325
489	1270	1322
490	1273	1319
491	1275	1316
492	1276	1313
493	1279	1310
494	1281	1307
495	1283	1303
496	1285	1300
497	1287	1298
498	1289	1295
499	1291	1291
500	1293	1288
501	1295	1285
502	1297	1282
503	1299	1278
504	1301	1275
505	1304	1273
506	1306	1270
507	1308	1266
508	1309	1263
509	1311	1260
510	1313	1256
511	1315	1253
512	1317	1250
513	1319	1247
514	1322	1245
515	1324	1242
516	1326	1239
517	1328	1236
518	1330	1232
519	1332	1230
520	1335	1227
521	1337	1224
522	1339	1221
523	1341	1218
524	1343	1215
525	1345	1212
526	1346	1208
527	1349	1206
528	1351	1203
529	1353	1200
530	1355	1197
531	1357	1194
532	1359	1190
533	1361	1187
534	1363	1185
535	1365	1182
536	1367	1179
537	1369	1176
538	1371	1173
539	1373	1169
540	1375	1167
541	1377	1164
542	1380	1161
543	1382	1158
544	1384	1155
545	1385	1152
546	1387	1149
547	1389	1146
548	1391	1143
549	1395	1141
550	1397	1138
551	1399	1135
552	1401	1132
553	1402	1129
554	1404	1126
555	1406	1123
556	1409	1120
557	1411	1117
558	1413	1114
559	1415	1112
560	1417	1109
561	1419	1106
562	1421	1103
563	1424	1101
564	1427	1098
565	1429	1095
566	1430	1092
567	1432	1089
568	1434	1086
569	1436	1083
570	1438	1080
571	1440	1078
